author,affiliation
Maher A. Bader,Civil and Environmental Engineering Department
Mahmoud Elish,Information and Computer Science Department
Mahmoud Hallak,Architecture Department
Mahmoud Hezam,Physics Department
Mahmoud M. Dawoud,Electrical Engineering Department
Mahmoud Mohammad Nagadi,Physics Department
"Mahmoud, Ashraf Sharif Hasan",Computer Engineering Department
Majad Khan,Chemistry Department
Malak Salim Baslyman,Information and Computer Science Department
Mamdouh M. Najjar,Information and Computer Science Department
Manal Thawab Alotibi,Mathematics and Statistics Department
Mansour Ahmed Saad Alharthi,Information and Computer Science Department
Mansour Aldajani,Systems Engineering Department
Mansour Mohammed Alhazmi,Architectural Engineering Department
Mansour Muhammad Al-Dhafeer,Petroleum Engineering Department
Mansur Masih,Accounting and Finance Department
Mark Colin Thompson,General Studies Department
Mark M. Guan,Petroleum Engineering Department
Markos D. Tranos,Geosciences Department
Marwan Abu-Amara,Computer Engineering Department
Marwan Al Qur'An,Management and Marketing Department
Marwan Al-Momani,Mathematics and Statistics Department
Mashooqi,Islamic & Arabic Studies Department
Masud-Ul-Hasan,Computer Engineering Department
Maxwell James Heineck,Preparatory Year Program
Mazen Al-Shalabi,Chemical Engineering Department
Mazen Khaled,Chemistry Department
Mazen M. Al-Rougi,Systems Engineering Department
Md. Arifuzzaman,Civil and Environmental Engineering Department
Md. Hasan Zahir,Chemistry Department
Md. Rafiul Hassan,Information and Computer Science Department
Md. Shakhawat Hossain Chowdhury,Civil and Environmental Engineering Department
Meamer El Nakla,Mechanical Engineering Department
Mehmet Sunar,Mechanical Engineering Department
Mesfer Ali Al-Qahtani,Islamic & Arabic Studies Department
Mesfer M. Al-Zahrani,Civil and Environmental Engineering Department
Michael A. Kaminski,Geosciences Department
Michael Caruana,Mathematics and Statistics Department
Mihai Halic,Mathematics and Statistics Department
Mihammad Fareed Kandlawala,Electrical Engineering Department
Mirza Ghouse Baig,Civil and Environmental Engineering Department
Mizanur Rahman,Corrosion Research Excellence Center
Mkrishna,Information and Computer Science Department
Mmadouh Al-Harthi,Chemical Engineering Department
Moahmmed Al-Idaros,Islamic & Arabic Studies Department
Moataz Hassanain,Physical Education Department
Mogtaba B. Mekki,Physics Department
Mohamed A. Abdalla,Petroleum Engineering Department
Mohamed A. Al-Nasser,Physics Department
Mohamed A. Antar,Mechanical Engineering Department
Mohamed Abdul Haleem,Electrical Engineering Department
Mohamed Abdulkader Dastageer,Physics Department
Mohamed Aly Ramady,Accounting and Finance Department
Mohamed Atta Ahmed Abdulgalil,Electrical Engineering Department
Mohamed Balah,Information and Computer Science Department
Mohamed El-Attar,Information and Computer Science Department
Mohamed El=Gebeily,Mathematics and Statistics Department
Mohamed Hussein,Corrosion Research Excellence Center
Mohamed I. M. Wazeer,Chemistry Department
Mohamed M Faiz,Physics Department
Mohamed Mahmoud,Petroleum Engineering Department
Mohamed Mohandes,Electrical Engineering Department
Mohamed Osman Shereif Mahdi,Management and Marketing Department
Mohamed S Kariapper,Physics Department
Mohamed Youssef,Management and Marketing Department
"Mohamed, Mohamed Syed Mansour",Electrical Engineering Department
Mohamed. B. Amin,Chemical Engineering Department
Mohammad A. Abido,Electrical Engineering Department
Mohammad A. Abul-Hamayel,Chemical Engineering Department
Mohammad A. Al-Ohali,Graduate Studies
Mohammad Abdurazzak Shafai Felemban,Computer Engineering Department
Mohammad Aboshosha,Mathematics and Statistics Department
Mohammad Abu-Sbeih,Mathematics and Statistics Department
Mohammad Adnan Al-Andalusi,Electrical Engineering Department
Mohammad Ahmad Ilyas Mohammad Abdul-Malek,Deanship of Admissions & Registration
Mohammad Al-Bar,Mathematics and Statistics Department
Mohammad Al-Homud,Geosciences Department
Mohammad Al-Kuhaili,Physics Department
Mohammad Al-Muhaini,Electrical Engineering Department
Mohammad Al-Suwaiyan,Civil and Environmental Engineering Department
Mohammad Ali Al-Sughaiyer,Civil and Environmental Engineering Department
Mohammad Ali Bin Bahauddin Qurban,Geosciences Department
Mohammad Alshayeb,Information and Computer Science Department
Mohammad Alsunaidi,Electrical Engineering Department
Mohammad Ashraf Ali,Research Institute
Mohammad Azadul Islam,Physics Department
Mohammad Bilal Ahmed,Preparatory Year Program
Mohammad Farah Saleh,Mathematics and Statistics Department
Mohammad Faroug Addas,Systems Engineering Department
Mohammad H. Omar,Mathematics and Statistics Department
Mohammad Hamdan,Physical Education Department
Mohammad I. Al-Jarallah,Physics Department
Mohammad Ismail Hasan Amro,Information Tech. Center
Mohammad K. Al-Ghamdi,Electrical Engineering Department
Mohammad Mozahar Hossain,Chemical Engineering Department
Mohammad Mustafa Mohammad Kafini,Mathematics and Statistics Department
Mohammad Nahid Siddiqui,Chemistry Department
Mohammad Nuruzzaman,Electrical Engineering Department
Mohammad Omar Babsail,Architecture Department
Mohammad Qamar,Nanotechnology Research Excellence Center
Mohammad Raziq Al Imam,Chemistry Department
Mohammad Saleh Alhassoun,Electrical Engineering Department
Mohammad Sayed Hasan,Accounting and Finance Department
Mohammad Shamsuzzoha,Chemical Engineering Department
Mohammad Sharif Zami,Architecture Department
Mohammad Shaye Al-Qahtani,Mechanical Engineering Department
Mohammad Waqar Ashraf,Chemistry Department
"Mohammad, Al-Homoud",Architectural Engineering Department
"Mohammad, Hassanain",Architectural Engineering Department
Mohammed A. Al-Daous,Chemistry Department
Mohammed A. Al-Sahlawi,Accounting and Finance Department
Mohammed Abdul Majid,Electrical Engineering Department
Mohammed Abdul Samad,Mechanical Engineering Department
Mohammed Ahmed Sanhoob,Chemical Engineering Department
Mohammed Al-Zamil,Islamic & Arabic Studies Department
Mohammed Alhaji Mohammed,Architectural Engineering Department
Mohammed Ali Al-Solami,Physics Department
Mohammed Ali Mohammed Alosta,Civil and Environmental Engineering Department
Mohammed Alkhalil,Construction Engineering and Management Department
Mohammed Awwal Suleiman,Chemical Engineering Department
Mohammed Balush,Civil and Environmental Engineering Department
Mohammed Enamul Hossain,Petroleum Engineering Department
Mohammed F. Alzahrani,Accounting and Finance Department
Mohammed Fahad Al-Khater,Chemical Engineering Department
Mohammed Faisal M. Ahmed,Mechanical Engineering Department
Mohammed Hamed Shwehdi,Electrical Engineering Department
Mohammed Hussain Essa,Civil and Environmental Engineering Department
Mohammed Ibrahim Kmal Abouheaf,Systems Engineering Department
Mohammed Jarallah Ahmed Al Zahrani,Islamic & Arabic Studies Department
Mohammed K. Al Ghuson,Computer Engineering Department
Mohammed Mogib Mohammed Alshahrani,Mathematics and Statistics Department
Mohammed Mostafa Al-Swaifi,Physical Education Department
Mohammed Nasiruzzaman Shaikh,Chemistry Department
Mohammed Niyasdeen Nejaamtheen,Aerospace Engineering Department
Mohammed Omar Budair,Mechanical Engineering Department
Mohammed S Jalaluddin,Construction Engineering and Management Department
Mohammed S. Abdelmonem,Physics Department
Mohammed Sadiq Sohail,Management and Marketing Department
Mohammed Saleh Ashoor,Islamic & Arabic Studies Department
Mohammed Samman,Mathematics and Statistics Department
Mohammed Taher Mohiuddin,Mechanical Engineering Department
Mohammed Tariq Saeed,Chemistry Department
Mohammed Yaqub,Mechanical Engineering Department
Mohammed Zahed Mustafa Khan,Electrical Engineering Department
Mohand-Said Oukil,Management and Marketing Department
Mohmmed Iqbal,Mathematics and Statistics Department
Mohsen A. Al-Hajji,Accounting and Finance Department
Mohsen Al-Nemari,Islamic & Arabic Studies Department
Mohsen Ghanem Abdullah Alshahrani,Mathematics and Statistics Department
Mohsin Khalid Siddiqui,Construction Engineering and Management Department
Monther Alfuraidan,Mathematics and Statistics Department
Monzurul Hoque,Accounting and Finance Department
Morad Khalid Ali Hamad,Physics Department
Moses M. Solomon,Corrosion Research Excellence Center
Moshood Omolade Saliu,Information and Computer Science Department
Mostafa Hamed Ahmed Elsharqawy,Mechanical Engineering Department
Mostapha Kassem,Mathematics and Statistics Department
Mostefa Bouchama,Civil and Environmental Engineering Department
Motaheruddin Ahmed,Physics Department
Motaz Abdulrahman Al Farraj,Electrical Engineering Department
Mourad Mansour,Management and Marketing Department
Moustafa Elshafei Ahmed Elshafei,Systems Engineering Department
Muataz Ali Atieh,Chemical Engineering Department
Mubarak Al-Buraik Al-Ghamdi,Accounting and Finance Department
Mudassir Masood Masood Ali,Electrical Engineering Department
Muhamed F. Mudawar,Computer Engineering Department
Muhammad A. H. Musa,Accounting and Finance Department
Muhammad Abdallah Al-Buraey,Management and Marketing Department
Muhammad Ajmal Khan,Electrical Engineering Department
Muhammad Al-Arfaj,Chemical Engineering Department
Muhammad Al-Haboubi,Systems Engineering Department
Muhammad Al-Hazmi,Accounting and Management Information Systems Department
Muhammad Al-Khaldi,Accounting and Management Information Systems Department
Muhammad Al-Salamah,Systems Engineering Department
Muhammad Al-Saleh,Chemical Engineering Department
Muhammad Ali Al-Marhoun,Petroleum Engineering Department
Muhammad Ali Khan,Preparatory Year Program
Muhammad Anwar Chaudhry,Mathematics and Statistics Department
Muhammad Ashfaq Bokhari,Mathematics and Statistics Department
Muhammad Asif,Architectural Engineering Department
Muhammad Atiqullah,Research Institute
Muhammad Aurang Zeb Hameedullah Mughal,General Studies Department
Muhammad Baseer Haider,Physics Department
Muhammad H. Al-Malack,Civil and Environmental Engineering Department
Muhammad Hasan Yousef Al-Yagoub,Systems Engineering Department
Muhammad Islam,Accounting and Management Information Systems Department
Muhammad Islam Shafiq Ahmad Mustafa,Mathematics and Statistics Department
Muhammad Jameel Qazi,Management and Marketing Department
Muhammad Janjua,Chemistry Department
Muhammad Kalimur Rahman,Research Institute
Muhammad Kamran Raza,Mechanical Engineering Department
Muhammad Khalid,Electrical Engineering Department
Muhammad Mahmoud,Computer Engineering Department
Muhammad Riaz,Mathematics and Statistics Department
Muhammad Saeed,General Studies Department
Muhammad Saifur Rahman,Accounting and Finance Department
Muhammad Saqib Sohail,Electrical Engineering Department
Muhammad Shafique,Information and Computer Science Department
Muhammad Sharif,Chemistry Department
Muhammad Tahir,Chemistry Department
Muhammad Tauhidur Rahman,City and Regional Planning Department
Muhammad Vohra,Civil and Environmental Engineering Department
Muhammad Waheed Aslam,Information and Computer Science Department
Muhammad Yar,Chemistry Department
Muhammad Younas,Mechanical Engineering Department
Muhammad Yousuf,Mathematics and Statistics Department
Muhammed Al-Mulhem,Information and Computer Science Department
Muhammed Asad Sadi,Management and Marketing Department
Mujahed Mohammed Aldheefallah,Systems Engineering Department
Mumtaz Quraishi,Corrosion Research Excellence Center
Munir A. Al-Absi,Electrical Engineering Department
Munjed Hisham Mohammad Sammouh,Mathematics and Statistics Department
Muosa Wasl Waslallah Al-Sulami,Islamic & Arabic Studies Department
Murat Cetin,Deanship of Admissions & Registration
Murtada Al-Jawad,Petroleum Engineering Department
Murtaza Ali Khan,Information and Computer Science Department
Musa Essayyad,Accounting and Finance Department
"Musawar, Malik",Mathematics and Statistics Department
Mustafa Ahmed,Accounting and Management Information Systems Department
Mustafa Eid,Accounting and Management Information Systems Department
Mustafa M. Hariri,Geosciences Department
Mustafa Saleh Nasser,Chemical Engineering Department
Mustafa Y. Al-Mandil,Civil and Environmental Engineering Department
Mustapha Achoui,Management and Marketing Department
Mutasim Sami Osman,Geosciences Department
Nabeel Salem Abo-Ghander,Chemical Engineering Department
Nabil Ghalleb,Accounting and Finance Department
Nabil Maalej,Physics Department
Nabil Nahas,Systems Engineering Department
Nadeem Ahmad Malik,Mathematics and Statistics Department
Nadhir A. Al-Baghli,Chemical Engineering Department
Naim M. Faqir,Chemical Engineering Department
Naji Fahmi Mohammad Ibrahim,Preparatory Year Program
Najmudeen Sibaweihi,Petroleum Engineering Department
Naqeebuddin Mujahid Syed,Systems Engineering Department
"Naseer, Abdul Rahim",Computer Engineering Department
Naser A. Al-Shayea,Civil and Environmental Engineering Department
Nashief M. Macud,Petroleum Engineering Department
Nasir A-Darwish,Information and Computer Science Department
Nasir M. Tukur,Chemical Engineering Department
Nassar M. Shaikh,Accounting and Management Information Systems Department
Nasser Ali Nasser Al-Qahtani,Management and Marketing Department
Nasser-Eddine Tatar,Mathematics and Statistics Department
Naveed Iqbal,Electrical Engineering Department
Nawaf Al-Madkhli,General Studies Department
Nayef Mesnad Alsaifi,Chemical Engineering Department
Nazeem Davids,Dammam Community College
Nedal Abu-Thabit,Nanotechnology Research Excellence Center
Nedal T. Ratrout,Civil and Environmental Engineering Department
Nesar Merah,Mechanical Engineering Department
Nicola Delledonne,Architecture Department
Nidal Khaled Mohammed Dwaikat,Physics Department
Nikolaos Konstantinidis,Physics Department
Nikolaos Nicolas Chatzissavvas Hadjisavvas,Mathematics and Statistics Department
Nizar Mabroukeh,Computer Engineering Department
Noman Ali Tasadduq,Electrical Engineering Department
Nouari Saheb,Mechanical Engineering Department
Nouri Mohamed Hassan,Chemistry Department
Numan Abu-Dheir,Mechanical Engineering Department
Nureddin M. Abbas,Chemical Engineering Department
Obaid Al-Shuridah,Management and Marketing Department
Obaid Saad Alabdali,Management and Marketing Department
Obaidallah Mohammad Munteshari,Mechanical Engineering Department
Oki Muraza,Chemical Engineering Department
Omar Abdallah Al-Swailem,Electrical Engineering Department
Omar Aburomia,Physical Education Department
Omar Al-Attas,Civil and Environmental Engineering Department
Omar Al-Titi,Accounting and Finance Department
Omar Arbab Ahmed,Dammam Community College
Omar Asfour,Architecture Department
Omar Binbrek,Physics Department
Omar Esam Al-Mahdy,Architecture Department
Omar Saeed Baghabra Al-Amoudi,Civil and Environmental Engineering Department
Onyeachu B. Ikenna,Corrosion Research Excellence Center
Osama Jannadi,Construction Engineering and Management Department
Osamhmulla,Islamic & Arabic Studies Department
Othman Al-Hamouz,Chemistry Department
Othman Echi,Mathematics and Statistics Department
Othman Sadeq Othman Al Hamouz,Chemistry Department
Oualid Hammi,Electrical Engineering Department
Oussama El-Bjeirami,Chemistry Department
P. Gandhidasan,Mechanical Engineering Department
Papa Birame Ndiaye,Physics Department
Parsa Bakhtary,Mathematics and Statistics Department
Peter Mora,Geosciences Department
Prasetyo Edi,Aerospace Engineering Department
Qaiser Imam,Mathematics and Statistics Department
Qamrul Hasan Ansari,Mathematics and Statistics Department
Qing Peng,Physics Department
Qinzhuo Liao,Petroleum Engineering Department
"Raad, Muhammad Wassim",Computer Engineering Department
Raafat Alnaizy,Chemical Engineering Department
Raashid Muhammad,Physics Department
Rabeah Abdulrahman Alzaidy,Information and Computer Science Department
Rabee M. Reffat,Architecture Department
Radwan,Civil and Environmental Engineering Department
Radwan El-Said Abdel-Aal,Computer Engineering Department
Raef Sabaneh,Physics Department
Rafat M. Nassar,Physics Department
Rafil Abdulkadir Basheer,Nanotechnology Research Excellence Center
Rahimov,Mathematics and Statistics Department
Rahul N. Gajbhiye,Petroleum Engineering Department
Raid F. Anabosi,Mathematics and Statistics Department
Raj Mittra,Electrical Engineering Department
Rajai Alassar,Mathematics and Statistics Department
Rakan A. Al-Ohali,Electrical Engineering Department
Rakan Fahad Alharbi,Islamic & Arabic Studies Department
Rakesh Tomar,Physical Education Department
Ramazan Kahraman,Chemical Engineering Department
Rami Suleiman,Corrosion Research Excellence Center
Rashed Mansour,Mechanical Engineering Department
Rashid Ali Khan,Dammam Community College
Rashid Allayla,Civil and Environmental Engineering Department
Raymond Curran,Mathematics and Statistics Department
Razali Bin Mat Zin,Management and Marketing Department
Reyad Awwad Shawabkeh,Chemical Engineering Department
Reza Fathollahzadeh Aghdam,Accounting and Finance Department
Rizwanullah Khan,Research Institute
Robert A. Opoku,Management and Marketing Department
Robert Harpool,Dammam Community College
Robin Simon Macpherson Chrystie,Chemical Engineering Department
Roland K. Yeo,Management and Marketing Department
Ronan Walshe,Dammam Community College
Roy Sidle,Geosciences Department
Ryad Ahmad Ghanam,Mathematics and Statistics Department
S. Kabbaj,Mathematics and Statistics Department
S. U. Rahman,Chemical Engineering Department
Saad Al-Mubayedh,City and Regional Planning Department
Saad Al-Shaharani,Electrical Engineering Department
Saad F. Alafnan,Petroleum Engineering Department
Saad M A Al-Ahmadi,Electrical Engineering Department
Saad S. Al-Ubaidi,Electrical Engineering Department
"Sabeer, Hamid",Architectural Engineering Department
Sabri A. Mahmoud,Information and Computer Science Department
Sadi Assaf,Construction Engineering and Management Department
Sadiq S. Mohammed,Computer Engineering Department
Saed Al-Amri,Islamic & Arabic Studies Department
Saeed Al-Garni,Mathematics and Statistics Department
Saeed Al-Qahtani,Islamic & Arabic Studies Department
Saeed Majed Al-Marzoug,Physics Department
Saeed Mohammed Alamoudi,Physics Department
Saeid A. Alghamdi,Civil and Environmental Engineering Department
Saheed Adewale Ganiyu,Chemistry Department
Sahel N. Abduljauwad,Deanship of Academic Development
Sahl,Information and Computer Science Department
Saiban,Civil and Environmental Engineering Department
Said,Information and Computer Science Department
Said Omar Berrimi,Dammam Community College
Saif Ahmad Al-Kaabi,Mechanical Engineering Department
Saji S. Viswanathan,Corrosion Research Excellence Center
Sajjad Mahmood,Information and Computer Science Department
Salah Adam,Information and Computer Science Department
Salah Fahd Al-Shalhoob,Islamic & Arabic Studies Department
Salah Uthman Al-Dulaijan,Civil and Environmental Engineering Department
Salaheldin M. Elkatatny,Petroleum Engineering Department
Salam Adel Zummo,Electrical Engineering Department
Saleem Hassan Alfaqieh,Dammam Community College
Saleh A. Al-Baridi,Islamic & Arabic Studies Department
Saleh A.Almana,Civil and Environmental Engineering Department
Saleh Ahmed Alsaleh,Computer Engineering Department
Saleh Alshebil,Management and Marketing Department
Saleh I. Al-Quraishi,Physics Department
Saleh S. M. Al-Enezy,Geosciences Department
Salih Osman Duffuaa,Systems Engineering Department
Salim Ibrir,Electrical Engineering Department
Salim Messaoudi,Mathematics and Statistics Department
Salim Ok,Chemistry Department
Salman Al-Dukhayel,Islamic & Arabic Studies Department
Salman Al-Fifi,Aerospace Engineering Department
Samer Maslamani,Mathematics and Statistics Department
Samer Muhammad Adnan Arafat,Information and Computer Science Department
Sami Abdallah Alwuhaibi,Management and Marketing Department
Sami Mohamed Mahmoud Zhioua,Information and Computer Science Department
"Sami, Khaiyat",Architectural Engineering Department
Samir A. Al-Baiyat,Electrical Engineering Department
Samir Al-Ghadhban,Electrical Engineering Department
Samir H. Abdul-Jauwad,Electrical Engineering Department
Samir Hasan Al-Amer,Systems Engineering Department
Samir Nadir Mekid,Deanship of Admissions & Registration
Sammer Hammad,Management and Marketing Department
Saquib Razak,Information and Computer Science Department
Sardar M. Ayub,Physics Department
Sarhan Mahmoud Abdulghani,Mathematics and Statistics Department
Saud A. Al-Semari,Electrical Engineering Department
Saviour Umoren,Corrosion Research Excellence Center
Sayed Omar,Preparatory Year Program
Sayyid Anas Vaqar,Systems Engineering Department
Scott Gary Surran,Preparatory Year Program
Scott Whattam,Geosciences Department
Sean Dowling,Preparatory Year Program
"Selmi, Hazem Helmi Muhareb",Computer Engineering Department
Seungmin Shin,Physical Education Department
Shafi Aldamer,Graduate Studies
Shafique Khan,Mechanical Engineering Department
Shafiqur Rehman,Research Institute
Shah Saud Alam,Preparatory Year Program
Shaher Arafeh,Preparatory Year Program
Shahzada Zaman Shuja,Mechanical Engineering Department
Shaibu Bala Garba,Architecture Department
Shaikh Abdur Razzak,Chemical Engineering Department
Shaikh Arifusalam,Systems Engineering Department
Shaikh Asrof Ali,Chemistry Department
Shamim Javed,Architecture Department
Shamshad Ahmad,Civil and Environmental Engineering Department
Shamsoodien Parker,Dammam Community College
Shamsuddin Khan,Mathematics and Statistics Department
Shankar Kunwar,Physics Department
Shehadeh Yaqoub,Mathematics and Statistics Department
Sheikh Sharif Iqbal,Electrical Engineering Department
Sherif M. H. Mahmoud,Geosciences Department
Shirish Patil,Petroleum Engineering Department
Shouki Abdullah Abbad,Information and Computer Science Department
Shukri Al-Senan,Civil and Environmental Engineering Department
Sidqi A. Abu-Khamsin,Petroleum Engineering Department
Simeon Sypros Magliveras,General Studies Department
Slim Belhaiza,Mathematics and Statistics Department
Soliman Almohawis,Construction Engineering and Management Department
"Sqalli, Mohammed Houssaini",Computer Engineering Department
Ssor  Salah M Sultan,Chemistry Department
Ssor Guldad K. Khattak,Physics Department
Ssor Haydar Akca,Mathematics and Statistics Department
Ssor Mohammad Aslam Khan,Physics Department
Stefanos Christos Orfanos,Mathematics and Statistics Department
Stephen Binns,Mathematics and Statistics Department
Stephen Jones,Preparatory Year Program
Stephen Wright,Preparatory Year Program
Suhail Ibrahim Al-Dharrab,Electrical Engineering Department
Sulaiman A. Alarifi,Petroleum Engineering Department
Sulaiman Al-Khattaf,Chemical Engineering Department
Sulayman Adeyemi Oladepo,Chemistry Department
Sulayman Oladepo,Chemistry Department
Sultan Almuhammadi,Information and Computer Science Department
Sultan Bin Hethlen,Islamic & Arabic Studies Department
Sultan Meshal Al-Otaibi,General Studies Department
Sultan Mohammed Alkhateeb,Accounting and Management Information Systems Department
Sumanto Al Qurtuby,General Studies Department
Svetoslav Georgiev,Geosciences Department
Syed Ahmed Ali,Research Institute
Syed Ameenuddin Hussain,Systems Engineering Department
Syed Arshad Raza,Accounting and Management Information Systems Department
Syed Ibrahim,Physical Education Department
Syed Mohammad Zubair,Mechanical Engineering Department
Syed Noaman Ali,Dammam Community College
Syed Saad Azhar Ali,Electrical Engineering Department
Syed Sohail Akhtar,Mechanical Engineering Department
Syed Zafar Shazli,Computer Engineering Department
Syed Zeeshan Jilani,Research Institute
Syed Zeeshan Rizvi,Electrical Engineering Department
Syed-Ahmad M. Said,Mechanical Engineering Department
Tabet,Physics Department
Tae Hyoung Gim,City and Regional Planning Department
Taha Landolsi,Computer Engineering Department
Tahar Laoui,Mechanical Engineering Department
Tahir Ayar,Systems Engineering Department
Talal H. Maghrabi,Information and Computer Science Department
Talal M. Alkharobi,Computer Engineering Department
Talal Omar Halawani,Electrical Engineering Department
Talat A. Bader,Civil and Environmental Engineering Department
Talat Ulussever,Accounting and Finance Department
Taofeek Ayinde,Mechanical Engineering Department
Taqi N. Al-Faraj,Management and Marketing Department
Tarek Abdelgalil,Research Institute
Tarek Ahmed Helmy Elbasuny,Information and Computer Science Department
Tarek Kandiel,Chemistry Department
Tarek Sheltami,Computer Engineering Department
Tareq Al-Naffouri,Electrical Engineering Department
Tarik Noureldeen Mohamed Abdelrheem,General Studies Department
Tariq Ibn Aziz,Dammam Community College
Tariq Mohammed Almugim,Islamic & Arabic Studies Department
Tawfik Abdo Saleh Awadh,Chemistry Department
Tawfik Saleh,Chemistry Department
Tayseer Rafe Mohammad Abu Alrub,Preparatory Year Program
Thaer Ali Barri,Chemistry Department
Thamer A. Al-Rugaib,Architecture Department
"Than Htun, Maung",Chemistry Department
Thomas Daly,Preparatory Year Program
Thomas Frederick Garrison,Chemistry Department
Thomas Garrison,Chemistry Department
Timm Lau,General Studies Department
Timothy Nelson,University Diploma Programs
Tinku Saikia,Petroleum Engineering Department
Tony Vernon,Mechanical Engineering Department
Turki Nasser Alomeer,City and Regional Planning Department
Tylor Burrows,Preparatory Year Program
Ubaid Muhsen Al-Saggaf,Electrical Engineering Department
Umair Bin Waheed,Geosciences Department
Umar M. Johar,Electrical Engineering Department
"Umar,Abdullahi",Mathematics and Statistics Department
Umer Zahid Muhammad Zahid Hassan,Chemical Engineering Department
Usamah A. Al-Mubaiyedh,Chemical Engineering Department
Usamah Ahmed Uthman,Accounting and Finance Department
Uthman Al-Saiari,Computer Engineering Department
Wael Fallatah,Mechanical Engineering Department
Wael G. Abdelrahman,Aerospace Engineering Department
Wael Hasan Ahmed,Mechanical Engineering Department
Wail Abdalhakeem Mousa Mousa,Electrical Engineering Department
Wajih A. Abu-Al-Saud,Electrical Engineering Department
Waleed Bahamdan,Accounting and Management Information Systems Department
Waleed M. R. Abdulghani,Geosciences Department
Walid Abu-Dayyeh,Mathematics and Statistics Department
Walid Abubaker Al-Kutti,Civil and Environmental Engineering Department
Walid Khaled Sharabati,Mathematics and Statistics Department
Walid S. Al-Sabah,Mathematics and Statistics Department
Wasef A. Nofal,Research Institute
Wasfi Ghassan Al-Khatib,Information and Computer Science Department
Wesley Joseph Cowan,Preparatory Year Program
Wessam Ali Mesbah,Electrical Engineering Department
William H. Joyner,Dammam Community College
Wissam Iali,Chemistry Department
Wolfgang Foerner,Chemistry Department
Y. N. Al-Nassar,Mechanical Engineering Department
Yahya Al-Harthi,Electrical Engineering Department
Yahya Al-Najjar,Architecture Department
Yahya Daoud Ahmed Daoud,Physical Education Department
Yahya E. Osais,Computer Engineering Department
Yahya Garout,Information and Computer Science Department
Yahya Saleh Al-Zhrani,Islamic & Arabic Studies Department
Yakubu Al-Haji Umar,Accounting and Finance Department
Yaman Khaeruzzaman,Information and Computer Science Department
Yaqub Alhussain Yahya Mahnashi,Electrical Engineering Department
Yasir Haroon Awan,Electrical Engineering Department
Yasser Adel Al-Moghathawi,Systems Engineering Department
Yassir Mohamed Khalid,Mathematics and Statistics Department
Yau Isa Garba,Computer Engineering Department
Yawvi A. Fiagbedzi,Mathematics and Statistics Department
Yehia Khulief,Mechanical Engineering Department
Yose Kadrin,City and Regional Planning Department
Youssef L. Abdel-Magid,Electrical Engineering Department
Zafarullah Khan,Mechanical Engineering Department
Zain Hassan Yamani,Physics Department
Zainulabideen Jamal Ahmad Khalifa,Electrical Engineering Department
Zakariya Al-Hamouz,Electrical Engineering Department
Zaki Ahmad,Mechanical Engineering Department
Zaki S. Seddigi,Chemistry Department
Zohair A. Yamani,Accounting and Finance Department
Zubair Ahmed Baig,Computer Engineering Department
Zuhair M. Gasem,Mechanical Engineering Department
Zuhair Omar Malyabari,Chemical Engineering Department
Zulfiqar Ahmed,Geosciences Department
