paper,title,author,affiliation,cite,year
2192,Utilization of Portland cement with limestone powder and cement kiln dust for stabilization/solidification of oil-contaminated marl soil,"Al-Amoudi, Omar S. Baghabra",Civil and Environmental Engineering Department,0,2020
2192,Utilization of Portland cement with limestone powder and cement kiln dust for stabilization/solidification of oil-contaminated marl soil,"Ahmad, Shamsad",Civil and Environmental Engineering Department,0,2020
2192,Utilization of Portland cement with limestone powder and cement kiln dust for stabilization/solidification of oil-contaminated marl soil,"Al-Malack, Muhammad H.",Civil and Environmental Engineering Department,0,2020
2439,"Effect of abrasion and chemical treatment of recycled aggregate on the workability, strength, and durability properties of concrete","Ahmad, Shamsad",Civil and Environmental Engineering Department,0,2020
2439,"Effect of abrasion and chemical treatment of recycled aggregate on the workability, strength, and durability properties of concrete","Faysal, Rayhan Md.",Civil and Environmental Engineering Department,0,2020
2439,"Effect of abrasion and chemical treatment of recycled aggregate on the workability, strength, and durability properties of concrete","Adekunle, Saheed Kolawole",Civil and Environmental Engineering Department,0,2020
2485,Goal programming model for optimal water allocation of limited resources under increasing demands,"Musa, Musa M.",Civil and Environmental Engineering Department,0,2020
2952,On the use of three-force member concept versus equilibrium equations in Statics,"Mukhtar, Faisal M.",Civil and Environmental Engineering Department,0,2020
2952,On the use of three-force member concept versus equilibrium equations in Statics,Ibrahim M. Algahtani,Civil and Environmental Engineering Department,0,2020
3169,On vibration of functionally graded sandwich nanoplates in the thermal environment,"Tounsi, Abdelouahed",Civil and Environmental Engineering Department,4,2020
3445,Comparative performance study of ZnCl2 and NaOH sludge based activated carbon for simultaneous aqueous uptake of phenolic compounds,"Essa, Mohammed H.",Civil and Environmental Engineering Department,2,2020
438,Power Flow Analysis of Weakly Meshed Distribution Network Including DG,"Al-Sakkaf, Abdulrahman",Civil and Environmental Engineering Department,2,2018
4187,Field evaluation of corrosion mitigation on reinforced concrete in marine exposure conditions,"Al-Duais, Ibrahim",Civil and Environmental Engineering Department,10,2018
535,"Islamic corporate finance, financial markets, and institutions: An overview","Alzahrani, Ahmed",Civil and Environmental Engineering Department,2,2019
724,Influence of admixing natural pozzolan as partial replacement of cement and microsilica in UHPC mixtures,"Ahmad, Shamsad",Civil and Environmental Engineering Department,3,2019
724,Influence of admixing natural pozzolan as partial replacement of cement and microsilica in UHPC mixtures,"Mohaisen, Khaled Own",Civil and Environmental Engineering Department,3,2019
724,Influence of admixing natural pozzolan as partial replacement of cement and microsilica in UHPC mixtures,"Adekunle, Saheed Kolawole",Civil and Environmental Engineering Department,3,2019
724,Influence of admixing natural pozzolan as partial replacement of cement and microsilica in UHPC mixtures,"Al-Dulaijan, Salah Othman",Civil and Environmental Engineering Department,3,2019
724,Influence of admixing natural pozzolan as partial replacement of cement and microsilica in UHPC mixtures,"Maslehuddin, Mohammed",Civil and Environmental Engineering Department,3,2019
856,An IOT based Wearable Smart Glove for Remote Monitoring of Rheumatoid Arthritis Patients,"Al-Sakkaf, Abdulrahman",Civil and Environmental Engineering Department,0,2019
1393,Analysis of Corner Supported Plates Under Symmetrical Loading,"Al-Shugaa, Madyan A.",Civil and Environmental Engineering Department,0,2019
1393,Analysis of Corner Supported Plates Under Symmetrical Loading,Ibrahim M. Algahtani,Civil and Environmental Engineering Department,0,2019
1735,Mechanical properties of steel fiber-reinforced UHPC mixtures exposed to elevated temperature: Effects of exposure duration and fiber content,"Ahmad, Shamsad",Civil and Environmental Engineering Department,14,2019
1735,Mechanical properties of steel fiber-reinforced UHPC mixtures exposed to elevated temperature: Effects of exposure duration and fiber content,"Rasul, Mehboob",Civil and Environmental Engineering Department,14,2019
1735,Mechanical properties of steel fiber-reinforced UHPC mixtures exposed to elevated temperature: Effects of exposure duration and fiber content,"Adekunle, Saheed Kolawole",Civil and Environmental Engineering Department,14,2019
1735,Mechanical properties of steel fiber-reinforced UHPC mixtures exposed to elevated temperature: Effects of exposure duration and fiber content,"Al-Dulaijan, Salah Othman",Civil and Environmental Engineering Department,14,2019
1735,Mechanical properties of steel fiber-reinforced UHPC mixtures exposed to elevated temperature: Effects of exposure duration and fiber content,"Maslehuddin, Mohammed",Civil and Environmental Engineering Department,14,2019
1735,Mechanical properties of steel fiber-reinforced UHPC mixtures exposed to elevated temperature: Effects of exposure duration and fiber content,"Ali, Syed Imran",Civil and Environmental Engineering Department,14,2019
1937,Analysis of Thin Plates with Internal Rigid Supports of Different Shapes and Layouts by the Boundary Point Method,Ibrahim M. Algahtani,Civil and Environmental Engineering Department,0,2019
2861,Automated Ritz Method for Large Deflection of Plates with Mixed Boundary Conditions,"Al-Shugaa, Madyan A.",Civil and Environmental Engineering Department,0,2020
2861,Automated Ritz Method for Large Deflection of Plates with Mixed Boundary Conditions,Ibrahim M. Algahtani,Civil and Environmental Engineering Department,0,2020
2919,Development of high performance concrete using industrial waste materials and nano-silica,"Maslehuddin, Mohammed",Civil and Environmental Engineering Department,0,2020
2919,Development of high performance concrete using industrial waste materials and nano-silica,"Al-Dulaijan, Salah Othman",Civil and Environmental Engineering Department,0,2020
2968,Energy-Based Solution for Bending Analysis of Thin Plates on Nonhomogeneous Elastic Foundation,"Al-Shugaa, Madyan A.",Civil and Environmental Engineering Department,0,2020
2968,Energy-Based Solution for Bending Analysis of Thin Plates on Nonhomogeneous Elastic Foundation,Ibrahim M. Algahtani,Civil and Environmental Engineering Department,0,2020
3549,RITZ METHOD FOR LARGE DEFLECTION OF ORTHOTROPIC THIN PLATES WITH MIXED BOUNDARY CONDITIONS,"Al-Shugaa, Madyan A.",Civil and Environmental Engineering Department,0,2020
3549,RITZ METHOD FOR LARGE DEFLECTION OF ORTHOTROPIC THIN PLATES WITH MIXED BOUNDARY CONDITIONS,Ibrahim M. Algahtani,Civil and Environmental Engineering Department,0,2020
2903,Mechanisms of fuel injector tip wetting and tip drying based on experimental measurements of engine-out particulate emissions from gasoline direct-injection engines,"Alzahrani, Ahmed",Civil and Environmental Engineering Department,1,2020
4132,Effect of Piezoelectric Patch Size and Material on Active Vibration Control of Wind Turbine Blades,Ahmed Abdelrahman Abdelmaksoud Ibrahim,Civil Engineering Department,1,2018
221,Design of Fault Tolerant Adders: A Review,"El-Maleh, Aiman H.",Computer Engineering Department,2,2018
221,Design of Fault Tolerant Adders: A Review,"Sait, Sadiq M.",Computer Engineering Department,2,2018
451,A platform for FPGA virtualization in clouds and data centers,"Al-Aghbari, Amran",Computer Engineering Department,1,2018
451,A platform for FPGA virtualization in clouds and data centers,"Elrabaa, Muhammad E. S.",Computer Engineering Department,1,2018
487,FBNoC: FPGA-based network on chip emulator for full-system architectural simulation of many-core systems,"Ahmed, Gamil A.",Computer Engineering Department,0,2018
487,FBNoC: FPGA-based network on chip emulator for full-system architectural simulation of many-core systems,"Elrabaa, Muhammad E. S.",Computer Engineering Department,0,2018
2569,Data delivery in wireless sensor networks with uncontrollable mobile nodes,Hosam Khaled Rowaihy,Computer Engineering Department,3,2018
2569,Data delivery in wireless sensor networks with uncontrollable mobile nodes,"Binsahaq, Ahmed",Computer Engineering Department,3,2018
2576,Embedded System for Motion Control of an Omnidirectional Mobile Robot,"Khayyat, Ahmad",Computer Engineering Department,8,2018
2644,Fog Computing: Data Streaming Services for Mobile End-Users,Tarek Sheltami,Computer Engineering Department,2,2018
2644,Fog Computing: Data Streaming Services for Mobile End-Users,"Shahra, Essa",Computer Engineering Department,2,2018
3702,On PLC network security,Abdul Rahman A. Almulhem,Computer Engineering Department,6,2018
3809,Intelligent Computing in Multidisciplinary Engineering Applications PREFACE,"El-Maleh, Aiman H.",Computer Engineering Department,1,2018
3910,Double Modular Redundancy (DMR) Based Fault Tolerance Technique for Combinational Circuits,"El-Maleh, Aiman H.",Computer Engineering Department,2,2018
4081,Engineering simulated evolution for integrated power optimization in data centers,"Sait, Sadiq M.",Computer Engineering Department,1,2018
4081,Engineering simulated evolution for integrated power optimization in data centers,"Raza, Ali",Computer Engineering Department,1,2018
4231,A Novel Spectrally Efficient Asynchronous Multi-Channel MAC Using a Half-Duplex Transceiver for Wireless Networks,"Devendiran, Abdullah",Computer Engineering Department,1,2018
4231,A Novel Spectrally Efficient Asynchronous Multi-Channel MAC Using a Half-Duplex Transceiver for Wireless Networks,Tarek Sheltami,Computer Engineering Department,1,2018
4231,A Novel Spectrally Efficient Asynchronous Multi-Channel MAC Using a Half-Duplex Transceiver for Wireless Networks,"Gondal, M. A.",Computer Engineering Department,1,2018
4391,Software-defined networking approach for enhanced evolved packet core network,"Gondal, M. A.",Computer Engineering Department,2,2018
4391,Software-defined networking approach for enhanced evolved packet core network,"Al Naser, Ahmed",Computer Engineering Department,2,2018
4391,Software-defined networking approach for enhanced evolved packet core network,"Abu-Amara, Marwan",Computer Engineering Department,2,2018
4391,Software-defined networking approach for enhanced evolved packet core network,Tarek Sheltami,Computer Engineering Department,2,2018
4391,Software-defined networking approach for enhanced evolved packet core network,"Nasser, Nidal",Computer Engineering Department,2,2018
4410,An RFID Based Activity of Daily Living for Elderly with Alzheimer's,"Raad, Muhammad Wasim",Computer Engineering Department,1,2018
4410,An RFID Based Activity of Daily Living for Elderly with Alzheimer's,Tarek Sheltami,Computer Engineering Department,1,2018
4410,An RFID Based Activity of Daily Living for Elderly with Alzheimer's,"Soliman, Mohamed Abdelmonem",Computer Engineering Department,1,2018
4410,An RFID Based Activity of Daily Living for Elderly with Alzheimer's,"Alrashed, Muntadar",Computer Engineering Department,1,2018
4411,A Detection and Prevention Technique for Man in the Middle Attack in Fog Computing,"Aliyu, Farouq",Computer Engineering Department,3,2018
4411,A Detection and Prevention Technique for Man in the Middle Attack in Fog Computing,Tarek Sheltami,Computer Engineering Department,3,2018
4435,OFDM with Generalized Index Shift Keying,Mohammed Yaqub,Computer Engineering Department,0,2018
4471,Underwater Visible Light Communications in Cascaded Gamma-Gamma Turbulence,"Sait, Sadiq M.",Computer Engineering Department,3,2018
4482,A Novel Data Collection Approach for Wireless Sensor Networks Powered with Ambient Energy,"Abu Amria, Tariq",Computer Engineering Department,0,2018
4482,A Novel Data Collection Approach for Wireless Sensor Networks Powered with Ambient Energy,"Baroudi, Uthman",Computer Engineering Department,0,2018
4519,Real-Time Healthcare Monitoring System Using Smartphones,"Abu Elkhail, Abdulrahman",Computer Engineering Department,0,2018
4519,Real-Time Healthcare Monitoring System Using Smartphones,"Baroudi, Uthman",Computer Engineering Department,0,2018
4528,TOWARDS A FRAMEWORK TO DETECT MODELING AND SEMANTIC ERRORS IN EVENT GRAPHS,Yahya E. Osais,Computer Engineering Department,0,2018
4544,Empirical Study on Use of Online Social Networking Sites in the Kingdom of Saudi Arabia,"Sait, Sadiq M.",Computer Engineering Department,0,2018
4545,Simulation of ARM and x86 Microprocessors Using In-order and Out-of-order CPU Models with Gem5 Simulator,"Abudaqa, Anas A.",Computer Engineering Department,0,2018
4545,Simulation of ARM and x86 Microprocessors Using In-order and Out-of-order CPU Models with Gem5 Simulator,"Al-Kharoubi, Talal M.",Computer Engineering Department,0,2018
4545,Simulation of ARM and x86 Microprocessors Using In-order and Out-of-order CPU Models with Gem5 Simulator,Muhamed F. Mudawar,Computer Engineering Department,0,2018
4545,Simulation of ARM and x86 Microprocessors Using In-order and Out-of-order CPU Models with Gem5 Simulator,"Kobilica, Armin",Computer Engineering Department,0,2018
4555,An Optimization Heuristic Based on Non-Dominated Sorting and Tabu Search for the Fixed Spectrum Frequency Assignment Problem,"Sait, Sadiq M.",Computer Engineering Department,6,2018
4573,Multi-User Visible Light Communications: State-of-the-Art and Future Directions,"Sait, Sadiq M.",Computer Engineering Department,10,2018
4583,Design of Fully Automatic Drone Parachute System with Temperature Compensation Mechanism for Civilian and Military Applications,Basem Al-Madani,Computer Engineering Department,1,2018
10,Toward Adaptive and Scalable OpenFlow-SDN Flow Control: A Survey,"Al-Roubaiey, Anas A.",Computer Engineering Department,12,2019
24,Pipeline Leak Detection Systems and Data Fusion: A Survey,"Baroudi, Uthman",Computer Engineering Department,4,2019
24,Pipeline Leak Detection Systems and Data Fusion: A Survey,"Al-Roubaiey, Anas A.",Computer Engineering Department,4,2019
24,Pipeline Leak Detection Systems and Data Fusion: A Survey,"Devendiran, Abdullah",Computer Engineering Department,4,2019
28,Cluster-Based Node Placement Approach for Linear Pipeline Monitoring,"Albaseer, Abdullatif",Computer Engineering Department,1,2019
28,Cluster-Based Node Placement Approach for Linear Pipeline Monitoring,"Baroudi, U.",Computer Engineering Department,1,2019
39,An Investigation on Detecting Bad Data Injection Attack in Smart Grid,"Baroudi, Uthman",Computer Engineering Department,0,2019
45,A Survey on Autonomic Provisioning and Management of QoS in SDN Networks,"Binsahaq, Ahmed",Computer Engineering Department,7,2019
45,A Survey on Autonomic Provisioning and Management of QoS in SDN Networks,Tarek Sheltami,Computer Engineering Department,7,2019
56,Energy Conservation in Wireless Sensor Networks Using Partly-Informed Sparse Autoencoder,"Barnawi, Abdulaziz",Computer Engineering Department,0,2019
57,Resource Allocation for Visible Light Communication Systems Using Simulated Annealing Based on a Problem-Specific Neighbor Function,"Sait, Sadiq M.",Computer Engineering Department,3,2019
87,Cloud-Based FPGA Custom Computing Machines for Streaming Applications,"Al-Aghbari, Amran",Computer Engineering Department,2,2019
87,Cloud-Based FPGA Custom Computing Machines for Streaming Applications,"Elrabaa, Muhammad E. S.",Computer Engineering Department,2,2019
108,Node placement approaches for pipelines monitoring: simulation and experimental analysis,"Albaseer, Abdullatif",Computer Engineering Department,0,2019
108,Node placement approaches for pipelines monitoring: simulation and experimental analysis,"Baroudi, Uthman",Computer Engineering Department,0,2019
120,Reliable Middleware for Wireless Sensor-Actuator Networks,"Al-Roubaiey, Anas A.",Computer Engineering Department,7,2019
120,Reliable Middleware for Wireless Sensor-Actuator Networks,Tarek Sheltami,Computer Engineering Department,7,2019
120,Reliable Middleware for Wireless Sensor-Actuator Networks,"Gondal, M. A.",Computer Engineering Department,7,2019
136,FPGA-Based Accelerators of Deep Learning Networks for Learning and Classification: A Review,"Shawahna, Ahmad",Computer Engineering Department,32,2019
136,FPGA-Based Accelerators of Deep Learning Networks for Learning and Classification: A Review,"Sait, Sadiq M.",Computer Engineering Department,32,2019
136,FPGA-Based Accelerators of Deep Learning Networks for Learning and Classification: A Review,"El-Maleh, Aiman H.",Computer Engineering Department,32,2019
159,A Reliable Peer-to-Peer Protocol for Multi-Robot Operating in Mobile Ad-Hoc Wireless Networks,"Al-Mouhamed, Mayez",Computer Engineering Department,1,2019
159,A Reliable Peer-to-Peer Protocol for Multi-Robot Operating in Mobile Ad-Hoc Wireless Networks,"Malik, M. Irfan",Computer Engineering Department,1,2019
163,Assessment of unsteady Brinkman's model for flow in karst aquifers,"Al-Mouhamed, Mayez",Computer Engineering Department,1,2019
545,A Neighborhood Search-Based Heuristic for the Fixed Spectrum Frequency Assignment Problem,"Sait, Sadiq M.",Computer Engineering Department,1,2019
558,Ticket-based QoS routing optimization using genetic algorithm for WSN applications in smart grid,"Baroudi, Uthman",Computer Engineering Department,10,2019
558,Ticket-based QoS routing optimization using genetic algorithm for WSN applications in smart grid,"Alshammari, Meshaan",Computer Engineering Department,10,2019
558,Ticket-based QoS routing optimization using genetic algorithm for WSN applications in smart grid,Shehadeh Yaqoub,Computer Engineering Department,10,2019
660,Cooperative Robot Deployment: Simulation and Real Experimental Analysis,"Sallam, Gamal",Computer Engineering Department,2,2019
660,Cooperative Robot Deployment: Simulation and Real Experimental Analysis,"Baroudi, Uthman",Computer Engineering Department,2,2019
769,FPGA-Based Symmetric Re-Encryption Scheme to Secure Data Processing for Cloud-Integrated Internet of Things,"Al-Asli, M.",Computer Engineering Department,3,2019
769,FPGA-Based Symmetric Re-Encryption Scheme to Secure Data Processing for Cloud-Integrated Internet of Things,"Elrabaa, Muhammad E. S.",Computer Engineering Department,3,2019
769,FPGA-Based Symmetric Re-Encryption Scheme to Secure Data Processing for Cloud-Integrated Internet of Things,"Abu-Amara, Marwan",Computer Engineering Department,3,2019
851,Performance Analysis of RPL Protocol for Data Gathering Applications in Wireless Sensor Networks,"Barnawi, Abdulaziz",Computer Engineering Department,1,2019
851,Performance Analysis of RPL Protocol for Data Gathering Applications in Wireless Sensor Networks,"Shahra, Essa",Computer Engineering Department,1,2019
857,Optimal design of planetary gear train for automotive transmissions using advanced meta-heuristics,"Sait, Sadiq M.",Computer Engineering Department,0,2019
858,Automated design of aircraft fuselage stiffeners using multiobjective evolutionary optimisation,"Sait, Sadiq M.",Computer Engineering Department,0,2019
859,Comparison of recent algorithms for many-objective optimisation of an automotive floor-frame,"Sait, Sadiq M.",Computer Engineering Department,0,2019
860,Multi-surrogate-assisted metaheuristics for crashworthiness optimisation,"Sait, Sadiq M.",Computer Engineering Department,0,2019
861,Mechanical engineering design optimisation using novel adaptive differential evolution algorithm,"Sait, Sadiq M.",Computer Engineering Department,0,2019
867,Hybrid Modelling Based on SVM and GA for Intelligent Wi-Fi-based Indoor Localization System,"Al-Roubaiey, Anas A.",Computer Engineering Department,0,2019
868,Online Power Tossim Simulator for Wireless Sensor Networks,"Al-Roubaiey, Anas A.",Computer Engineering Department,0,2019
870,A Mechanism for Copyright Protection under Information-Centric Networking,"Al-Awami, Louai",Computer Engineering Department,0,2019
874,Agent Localization for WSN based on Variable Step-Size ILMS and DLMS,"Barnawi, Abdulaziz",Computer Engineering Department,0,2019
886,Performance Evaluation of Multi-Layer Perceptron (MLP) and Radial Basis Function (RBF),"Aliyu, Farouq",Computer Engineering Department,0,2019
904,An Anonymity Technique for Base Stations Against Traffic Volume Analysis in Wireless Sensor Networks and Internet of Things,"Baroudi, Uthman",Computer Engineering Department,0,2019
904,An Anonymity Technique for Base Stations Against Traffic Volume Analysis in Wireless Sensor Networks and Internet of Things,"Aliyu, Farouq",Computer Engineering Department,0,2019
904,An Anonymity Technique for Base Stations Against Traffic Volume Analysis in Wireless Sensor Networks and Internet of Things,"Shahra, Essa",Computer Engineering Department,0,2019
904,An Anonymity Technique for Base Stations Against Traffic Volume Analysis in Wireless Sensor Networks and Internet of Things,"Al Naser, Ahmed",Computer Engineering Department,0,2019
905,An IoT Based Inventory System for High Value Laboratory Equipment,"Raad, Muhammad Wasim",Computer Engineering Department,0,2019
905,An IoT Based Inventory System for High Value Laboratory Equipment,"Deriche, Mohamed",Computer Engineering Department,0,2019
905,An IoT Based Inventory System for High Value Laboratory Equipment,"Abdelrahman, Wael",Computer Engineering Department,0,2019
912,Design and Analysis of Multicore Matrix Multiplier for Image Processing,"Aliyu, Farouq",Computer Engineering Department,0,2019
912,Design and Analysis of Multicore Matrix Multiplier for Image Processing,"Mohammed, Shuaib",Computer Engineering Department,0,2019
912,Design and Analysis of Multicore Matrix Multiplier for Image Processing,"Amin, Alaeddin",Computer Engineering Department,0,2019
914,The Perspectives of the Integrated IoT Devices in the Improvement of the Industrial Lab Experience,"Sheltami, Tarek Rahil",Computer Engineering Department,0,2019
921,Management of RF Energy Harvesting: A Survey,"Baroudi, Uthman",Computer Engineering Department,1,2019
924,An IOT based sensing system for remote monitoring of PV panels,"Raad, Muhammad Wasim",Computer Engineering Department,0,2019
955,Real-time image encryption and decryption methods based on the Karhunen-Loeve transform,"Shaheen, Ahmad",Computer Engineering Department,0,2019
974,Performance Evaluation and Review of Lightweight Cryptography in an Internet-of-Things Environment,"Beg, Abdurrahman",Computer Engineering Department,0,2019
974,Performance Evaluation and Review of Lightweight Cryptography in an Internet-of-Things Environment,Talal M. Alkharobi,Computer Engineering Department,0,2019
974,Performance Evaluation and Review of Lightweight Cryptography in an Internet-of-Things Environment,Mohamed A. Al-Nasser,Computer Engineering Department,0,2019
979,CEET: Cooperative Energy Efficient Tracking System using Smartphones,"Abido, Mohammad Ali Yousef",Computer Engineering Department,2,2019
979,CEET: Cooperative Energy Efficient Tracking System using Smartphones,"Baroudi, Uthman",Computer Engineering Department,2,2019
980,Enhancing MQTT-SN Performance via Fountain Codes in Extreme Conditions,"Alshantout, Ahmad",Computer Engineering Department,0,2019
980,Enhancing MQTT-SN Performance via Fountain Codes in Extreme Conditions,"Al-Awami, Louai",Computer Engineering Department,0,2019
1142,Digital image encryption techniques for wireless sensor networks using image transformation methods: DCT and DWT,"Shaheen, Ahmad",Computer Engineering Department,9,2019
1142,Digital image encryption techniques for wireless sensor networks using image transformation methods: DCT and DWT,Tarek Sheltami,Computer Engineering Department,9,2019
1142,Digital image encryption techniques for wireless sensor networks using image transformation methods: DCT and DWT,"Al-Kharoubi, Talal M.",Computer Engineering Department,9,2019
1341,Traffic-aware auto-configuration protocol for service oriented low-power and lossy networks in IoT,"Gondal, M. A.",Computer Engineering Department,1,2019
1341,Traffic-aware auto-configuration protocol for service oriented low-power and lossy networks in IoT,"Mahyoub, Mohammed",Computer Engineering Department,1,2019
1341,Traffic-aware auto-configuration protocol for service oriented low-power and lossy networks in IoT,Tarek Sheltami,Computer Engineering Department,1,2019
1341,Traffic-aware auto-configuration protocol for service oriented low-power and lossy networks in IoT,"Abu-Amara, Marwan",Computer Engineering Department,1,2019
1450,A Protection and Pay-per-use Licensing Scheme for On-cloud FPGA Circuit IPs,"Elrabaa, Muhammad E. S.",Computer Engineering Department,0,2019
1450,A Protection and Pay-per-use Licensing Scheme for On-cloud FPGA Circuit IPs,"Abu-Amara, Marwan",Computer Engineering Department,0,2019
1462,GiantClient: Video HotSpot for Multi-User Streaming,"Felemban, Muhamad",Computer Engineering Department,1,2019
1614,"The Harris hawks, grasshopper and multi-verse optimization algorithms for the selection of optimal machining parameters in manufacturing operations","Sait, Sadiq M.",Computer Engineering Department,38,2019
1615,A new hybrid Harris hawks-Nelder-Mead optimization algorithm for solving design and manufacturing problems,"Sait, Sadiq M.",Computer Engineering Department,36,2019
1734,A framework for single and multiple anomalies localization in pipelines,"Ul-Hamid, Anwar",Computer Engineering Department,0,2019
1734,A framework for single and multiple anomalies localization in pipelines,Tarek Sheltami,Computer Engineering Department,0,2019
1740,EATDDS: Energy-aware middleware for wireless sensor and actuator networks,"Al-Roubaiey, Anas A.",Computer Engineering Department,4,2019
1740,EATDDS: Energy-aware middleware for wireless sensor and actuator networks,Tarek Sheltami,Computer Engineering Department,4,2019
1740,EATDDS: Energy-aware middleware for wireless sensor and actuator networks,"Gondal, M. A.",Computer Engineering Department,4,2019
1914,Fuzzy Logic Type-2 Based Wireless Indoor Localization System for Navigation of Visually Impaired People in Buildings,Basem Al-Madani,Computer Engineering Department,13,2019
1966,Modeling and control of Cyber-Physical Systems subject to cyber attacks: A survey of recent advances and challenges,"Baroudi, Uthman",Computer Engineering Department,17,2019
2087,A game theoretic approach of deployment a multiple UAVs for optimal coverage,"Nemer, Ibrahim A.",Computer Engineering Department,0,2020
2087,A game theoretic approach of deployment a multiple UAVs for optimal coverage,Tarek Sheltami,Computer Engineering Department,0,2020
2087,A game theoretic approach of deployment a multiple UAVs for optimal coverage,"Gondal, M. A.",Computer Engineering Department,0,2020
2261,Energy-Aware Connectivity Restoration Mechanism for Cyber-Physical Systems of Networked Sensors and Robots,"Baroudi, Uthman",Computer Engineering Department,0,2020
2671,EDoS-ADS: An Enhanced Mitigation Technique Against Economic Denial of Sustainability (EDoS) Attacks,"Shawahna, Ahmad",Computer Engineering Department,2,2020
2671,EDoS-ADS: An Enhanced Mitigation Technique Against Economic Denial of Sustainability (EDoS) Attacks,"Abu-Amara, Marwan",Computer Engineering Department,2,2020
2671,EDoS-ADS: An Enhanced Mitigation Technique Against Economic Denial of Sustainability (EDoS) Attacks,"Gondal, M. A.",Computer Engineering Department,2,2020
2671,EDoS-ADS: An Enhanced Mitigation Technique Against Economic Denial of Sustainability (EDoS) Attacks,Yahya E. Osais,Computer Engineering Department,2,2020
2676,DDS-Based Containment Control of Multiple UAV Systems,Basem Al-Madani,Computer Engineering Department,0,2020
2694,Channel Modelling and Performance Limits of Vehicular Visible Light Communication Systems,"Sait, Sadiq Q.",Computer Engineering Department,1,2020
2698,Malware classification using compact image features and multiclass support vector machines,"Imam, Mohammad R.",Computer Engineering Department,0,2020
2751,A Probabilistic Tabu Search State Assignment Algorithm for Area and Power Optimization of Sequential Circuits,"El-Maleh, Aiman H.",Computer Engineering Department,0,2020
2820,Seagull optimization algorithm for solving real-world design optimization problems,"Sait, Sadiq M.",Computer Engineering Department,0,2020
2858,Secure control of cyber physical systems subject to stochastic distributed DoS and deception attacks,"Baroudi, Uthman",Computer Engineering Department,1,2020
2939,Dynamic Multi-Objective Auction-Based (DYMO-Auction) Task Allocation,"Baroudi, Uthman",Computer Engineering Department,0,2020
2939,Dynamic Multi-Objective Auction-Based (DYMO-Auction) Task Allocation,"Alshaboti, Mohammad",Computer Engineering Department,0,2020
2940,A Novel Approach for Efficient Management of Data Lifespan of IoT Devices,Tarek Sheltami,Computer Engineering Department,0,2020
2940,A Novel Approach for Efficient Management of Data Lifespan of IoT Devices,"Al-Awami, Louai",Computer Engineering Department,0,2020
3051,Survey of Network Coding Based P2P File Sharing in Large Scale Networks,"Abudaqa, Anas A.",Computer Engineering Department,0,2020
3051,Survey of Network Coding Based P2P File Sharing in Large Scale Networks,"Gondal, M. A.",Computer Engineering Department,0,2020
3051,Survey of Network Coding Based P2P File Sharing in Large Scale Networks,"Abu-Amara, Marwan",Computer Engineering Department,0,2020
3051,Survey of Network Coding Based P2P File Sharing in Large Scale Networks,Tarek Sheltami,Computer Engineering Department,0,2020
3100,A review of CUDA optimization techniques and tools for structured grid computing,"Al-Mouhamed, Mayez",Computer Engineering Department,0,2020
3148,Numerical investigation on activation energy of chemically reactive heat transfer unsteady flow with multiple slips,"Sait, Sadiq M.",Computer Engineering Department,0,2020
3202,A Game Theoretic Model for the Multiperiodic Smart Grid Demand Response Problem,"Baroudi, Uthman",Computer Engineering Department,2,2020
3229,A Partition-Driven Integrated Security Architecture for Cyberphysical Systems,"Felemban, Muhamad",Computer Engineering Department,0,2020
3244,Optimum design of an air suspension seat using recent structural optimization techniques,"Sait, Sadiq M.",Computer Engineering Department,3,2020
3245,A novel hybrid Harris hawks-simulated annealing algorithm and RBF-based metamodel for design optimization of highway guardrails,"Sait, Sadiq M.",Computer Engineering Department,15,2020
3246,The Henry gas solubility optimization algorithm for optimum structural design of automobile brake components,"Sait, Sadiq M.",Computer Engineering Department,13,2020
3259,Internet of Things based multiple disease monitoring and health improvement system,"Abdulghaffar, Abdulaziz",Computer Engineering Department,5,2020
3259,Internet of Things based multiple disease monitoring and health improvement system,"Mostafa, Saud Mohammad",Computer Engineering Department,5,2020
3259,Internet of Things based multiple disease monitoring and health improvement system,Saleh Ahmed Alsaleh,Computer Engineering Department,5,2020
3259,Internet of Things based multiple disease monitoring and health improvement system,Tarek Sheltami,Computer Engineering Department,5,2020
3451,Joint bit and power loading for adaptive MIMO OFDM VLC systems,"Sait, Sadiq M.",Computer Engineering Department,2,2020
3495,An Improved Grasshopper Optimization Algorithm Based Echo State Network for Predicting Faults in Airplane Engines,"Sait, Sadiq M.",Computer Engineering Department,0,2020
3497,Self-organising cooperative clustering protocol for tracking and monitoring,"Abido, Mohammad Ali Yousef",Computer Engineering Department,0,2020
3497,Self-organising cooperative clustering protocol for tracking and monitoring,"Baroudi, Uthman",Computer Engineering Department,0,2020
3523,Deep Q-Learning Based Optimization of VLC Systems With Dynamic Time-Division Multiplexing,"Sait, Sadiq M.",Computer Engineering Department,0,2020
3529,Convolutional Neural Network-Based Inter-Turn Fault Diagnosis in LSPMSMs,"Nemer, Ibrahim A.",Computer Engineering Department,2,2020
3531,Genetic Algorithm for the Mutual Information-Based Feature Selection in Univariate Time Series Data,"Sait, Sadiq M.",Computer Engineering Department,0,2020
3587,Formation Control of Multi Unmanned Aerial Vehicle Systems Based on DDS Middleware,Basem Al-Madani,Computer Engineering Department,2,2020
