paper,title,author,affiliation,cite,year,collabs
995,"Central, Paracentral and Near-Peripheral Retinal Response to Chromatic Blur","alanazi, muteb",Optometry Department,0,2018,0
1000,A priming dose protects against gold nanoparticles-induced proinflammatory cytokines mRNA expression in mice,"ibrahim, khalid elfaki",Zoology Department,11,2018,2
1001,Evaluation of Handheld Scanners for Automotive Applications,"ameen, wadea",Advanced Manufacturing Institute,5,2018,0
1002,Confined optical beam-bending for direct connection among cores of different multicore fibers,"awad, ehab",Electrical Engineering Department,0,2018,0
1003,Evaluation of the diuretic potentials of naringenin in hypercholesterolemic rats,"ahamad, syed rizwan",Research Center,4,2018,0
1004,"Trends in Medicaid fee-for-service outpatient drug utilization, expenditures, and pharmacy reimbursement rates (2010-2012)","balkhi, bander",Pharmacoecon Research Unit,0,2018,0
1006,Energy Analysis of a Rotary Drum Bioreactor for Composting Tomato Plant Residues,"alkoaik, fahad n.",Agricultural Engineering Department,9,2018,0
1007,Fabrication of Cost-Effective Dye-Sensitized Solar Cells Using Sheet-Like CoS2 Films and Phthaloylchitosan-Based Gel-Polymer Electrolyte,"prasad, saradh",Physics & Astronomy Department,6,2018,1
1008,Melatonin Alleviates High Temperature-Induced Pollen Abortion in Solanum lycopersicum,"wijaya, leonard",Botany & Microbiology Department,19,2018,0
1010,Enhancing relativistic electron beam propagation through the use of graded resistivity guides,"alraddadi, r. a. b.",Physics & Astronomy Department,3,2018,0
1012,The effects of irradiance and exposure time on the surface roughness of bulk-fill composite resin restorative materials,"alkhudhairy, fahad",Researchtorat Dental Science Department,2,2018,0
1013,Thymoquinone reduces mortality and suppresses early acute inflammatory markers of sepsis in a mouse model,"alkharfy, khalid m.",Clinical Pharmacology Department,11,2018,1
1014,Human Pluripotent Stem Cell Culture on Polyvinyl Alcohol-Co-Itaconic Acid Hydrogels with Varying Stiffness Under Xeno-Free Conditions,"higuchi, akon",Botany & Microbiology Department,1,2018,0
1015,Changes of lumbar posture and tissue loading during static trunk bending,"alessa, faisal",Industrial Engineering Department,7,2018,0
1016,Hierarchical Co3O4 decorated PPy nanocasting core-shell nanospheres as a high performance electrocatalysts for methanol oxidation,"alothman, othman y.",Chemistry Engineering Department,9,2018,1
1017,"Synthesis and application of new surface active poly (ionic liquids) based on 1,3-dialkylimidazolium as demulsifiers for heavy petroleum crude oil emulsions","ezzat, abdelrahman o.",Chemistry Department,9,2018,0
1018,"Unraveling the binding characteristics of the anti-HIV agents abacavir, efavirenz and emtricitabine to bovine serum albumin using spectroscopic and molecular simulation approaches","alanazi, amer m.",Pharmaceutical Chemistry Department,10,2018,0
1019,Effect of Surface Functionalization on Structural and Optical Properties of Luminescent LaF3:Sm Nanoparticles,"ansari, anees a.",King Abdullah Institute Nanotechnology,2,2018,0
1020,Influence of space of abutment screw access channel on the amount of extruded excess cement and marginal accuracy of cement-retained single implant restorations,"al amri, mohammad d.",Prosthetic Dental Science Department,3,2018,1
1021,Choosing the Proper Interface for Positive Airway Pressure Therapy in Subjects With Acute Respiratory Failure,"bahammam, ahmed s.",University Sleep Disorders Center,2,2018,0
1023,Role of chitosan on controlling the characteristics and antifungal activity of bioadhesive fluconazole vaginal tablets,"fitaihi, rawan a.",Pharmaceutical Department,12,2018,0
1024,Effect of neat and binary vehicle systems on the solubility and cutaneous delivery of piperine,"alomrani, abdullah hasan",Pharmaceutical Department,0,2018,3
1025,Phytochemical standardization and biological activities of certain desert plants growing in Saudi Arabia,"al-dosary, monerah a.",Botany & Microbiology Department,5,2018,1
1026,"Roles of some antioxidants in modulation of cardiac myopathy induced by sodium nitrite via down-regulation of mRNA expression of NF-kappa B, Bax, and flt-1 and suppressing DNA damage","fadda, laila mohamed",Pharmacology Department,7,2018,0
1027,A novel protocol for bacterial ghosts' preparation using tween 80,"rabea, sameh",Pharmaceutical Department,6,2018,0
1028,Changes in the utilization of osteoporosis drugs after the 2010 FDA bisphosphonate drug safety communication,"balkhi, bander",Clinical Pharmacology Department,9,2018,0
1029,"Isolation, identification and anti-candidal activity of filamentous fungi from Saudi Arabia soil","al-dosary, monerah a.",Botany & Microbiology Department,5,2018,1
1030,"Concurrent analysis of bioactive triterpenes oleanolic acid and beta-amyrin in antioxidant active fractions of Hibiscus calyphyllus, Hibiscus deflersii and Hibiscus micranthus grown in Saudi Arabia by applying validated HPTLC method","siddiqui, nasir ali",Pharmacognosy Department,7,2018,0
1031,Antitumor activity of extract and isolated compounds from Drechslera rostrata and Eurotium tonophilum,"alasmary, fatmah a. s.",Chemistry Department,5,2018,1
1032,Development of a stress induced validated UPLC-PDA method for the analysis of Eslicarbazepine acetate,"alam, perwez",Pharmacognosy Department,2,2018,0
1036,"Screening and evaluation of antioxidant activity of some 1,2,4-triazolo[1,5-a] quinazoline derivatives","al-salahi, rashad",Pharmaceutical Chemistry Department,9,2018,0
1038,Influence of functional groups on the photophysical properties of dimethylamino chalcones as laser dyes,"alsalhi, m. s.",Research Chair Laser Diagnosis Cancer,9,2018,0
1039,Influence of Multiwalled Carbon Nanotubes on Biodegradable Poly(lactic acid) Nanocomposites for Electroactive Shape Memory Actuator,"alam, javed",King Abdullah Institute Nanotechnology,4,2018,0
1040,TMS as a tool to investigate the effect of pharmacological medications on cortical plasticity,"alomar, m.",Physiology Department,4,2018,0
1041,Big Data Analytics in Industrial IoT Using a Concentric Computing Model,"imran, muhammad",Computer Science Department,36,2018,1
1042,Recent Advances and Challenges in Mobile Big Data,"imran, muhammad",Computer Science Department,19,2018,0
1043,A Mobility-Aware Optimal Resource Allocation Architecture for Big Data Task Execution on Mobile Cloud in Smart Cities,"hassan, mohammad mehedi",Information Systems Department,25,2018,1
1045,Aquatic ecosystem health and trophic status classification of the Bitter Lakes along the main connecting link between the Red Sea and the Mediterranean,"el-serehy, hamed a.",Zoology Department,9,2018,0
1046,Auxin-cytokinin synergism in vitro for producing genetically stable plants of Ruta graveolens using shoot tip meristems,"faisal, mohammad",Botany & Microbiology Department,5,2018,0
1047,Deleterious effects of potassium bromate administration on renal and hepatic tissues of Swiss mice,"altoom, naif g.",Zoology Department,7,2018,0
1048,Conservation in Saudi Arabia; moving from strategy to practice,"alagaili, a. n.",Zoology Department,1,2018,0
1049,"Evaluation of traditional medicinal plant, Cissus setosa Roxb. (Vitaceae) for antiulcer property","ali, m. ajmal",Botany & Microbiology Department,2,2018,0
1050,Grafting improves cucumber water stress tolerance in Saudi Arabia,"al-harbi, abdulaziz r.",Plant Production Department,4,2018,1
1051,"Preparation, characterization of silver phyto nanoparticles and their impact on growth potential of Lupinus termis L. seedlings","al-huqail, asma a.",Botany & Microbiology Department,12,2018,0
1052,Honey: Single food stuff comprises many drugs,"ansari, mohammad javed",Plant Protection Department,21,2018,0
1053,"Exploration and local utilization of medicinal vegetation naturally grown in the Deusai plateau of Gilgit, Pakistan","hashem, abeer",Botany & Microbiology Department,9,2018,0
1054,Kinetics and mathematical modeling of infrared thin-layer drying of garlic slices,"younis, mahmoud",Agricultural Engineering Department,28,2018,0
1055,Pollen morphology of certain species of the family Lamiaceae in Saudi Arabia,"doaigey, abdullah",Botany & Microbiology Department,5,2018,0
1056,Antimicrobial activity of some plant extracts against bacterial strains causing food poisoning diseases,"mostafa, ashraf a.",Botany & Microbiology Department,82,2018,0
1057,Validation of botanical origins and geographical sources of some Saudi honeys using ultraviolet spectroscopy and chemometric analysis,"ansari, mohammad javed",Plant Protection Department,6,2018,1
1058,Effect of gut bacterial isolates from Apis mellifera jemenitica on Paenibacillus larvae infected bee larvae,"al-ghamdi, ahmad",Plant Protection Department,14,2018,0
1059,Characterization of gut bacterial flora of Apis mellifera from north-west Pakistan,"ansari, mohammad javed",Plant Protection Department,14,2018,0
1060,Impact of blood manufacturing and donor characteristics on membrane water permeability and in vitro quality parameters during hypothermic storage of red blood cells,"alshalani, abdulrahman",Clinical Lab Science Department,9,2018,0
1062,Decomposition of methane over alumina supported Fe and Ni-Fe bimetallic catalyst: Effect of preparation procedure and calcination temperature,"al-fatesh, ahmed s.",Chemistry Engineering Department,11,2018,0
1063,"Effect of Agaricus bisporus enriched diet on growth, hematology, and immune protection in Clarias gariepinus against Flavobacterium columnare","ahamed, anis",Botany & Microbiology Department,3,2018,0
1064,Representation of occupational information across resources and validation of the occupational data for health model,"aldekhyyel, ranyah",Medical Education Department,2,2018,0
1066,Mammogram classification using dynamic time warping,"hussain, mohammad",Computer Science Department,6,2018,0
1068,Exploring thermoelectric materials for renewable energy applications: The case of highly mismatched alloys based on AlBi1-xSbx and InBi1-xSbx,"laref, a.",Physics & Astronomy Department,9,2018,0
1070,"Quantum chemical insight into the molecular structure of L-chemosensor 1,3-dimethyl-5-(thien-2-ylmethylene)-pyrimidine-2,4,6-(1H, 3H, 5H)-trione: Naked-eye colorimetric detection of copper(II) anions","barakat, assem",Chemistry Department,8,2018,1
1071,Utilization of molecular markers for improving the phosphorus efficiency in crop plants,"ignacimuthu, savarimuthu",Deanship Science Research,10,2018,0
1072,PARADIGM-HF Trial: Secondary Analyses Address Unanswered Questions,"aldemerdash, ahmed",Clinical Pharmacology Department,4,2018,0
1073,"Influence of oven and microwave roasting on bioproperties, phenolic compounds, fatty acid composition, and mineral contents of nongerminated peanut and germinated peanut kernel and oils","al-juhaimi, fahad y.",Food Science & Nutrition Department,2,2018,0
1075,Atomic-level study on mechanical properties and strengthening mechanisms of Al/SiC nano-composites,"umer, usama",Advanced Manufacturing Institute,4,2018,0
1076,Phytochemical and chemotaxonomic study on Iris albicans Lange leaves,"abdel-mageed, wael m.",Pharmacognosy Department,3,2018,0
1077,Leveraging Analysis of User Behavior to Identify Malicious Activities in Large-Scale Social Networks,"al-qurishi, muhammad",Information Systems Department,11,2018,1
1078,"Optoelectronic and transport properties of LiBZ (B = Al, In, Ga and Z = Si, Ge, Sn) semiconductors","laref, a.",Physics & Astronomy Department,3,2018,0
1080,"Silver-fir (Abies alba MILL.) neighbors improve water relations of European beech (Fagus sylvatica L.), but do not affect N nutrition","rennenberg, heinz",Zoology Department,12,2018,0
1081,An improved method of DNA preparation for PCR-based detection of Brucella in raw camel milk samples from Riyadh region and its comparison with immunological methods,"khan, shams tabrez",Zoology Department,3,2018,1
1082,Clinicopathological characteristics of desmoplastic ameloblastoma: A systematic review,"mushtaq, shazia",Dental Health Department,4,2018,0
1083,Microstructure and mechanical properties of porous titanium structures fabricated by electron beam melting for cranial implants,"moiduddin, khaja",Advanced Manufacturing Institute,3,2018,0
1084,"Theoretical investigation of the structural, elastic, electronic and optical properties of the ternary indium sulfide layered structures AInS(2) (A = K, Rb and Cs)","bin-omran, s.",Physics & Astronomy Department,3,2018,0
1086,"Chitosan extracted from Aspergillus flavus shows synergistic effect, eases quorum sensing mediated virulence factors and biofilm against nosocomial pathogen Pseudomonas aeruginosa","ahmad, mohammad",Medical Surgery Nursing Department,10,2018,0
1087,"Synthesis, crystal structure and Hirshfeld surface analysis of tetraaquabis(isonicotinamide-kappa N-1)-cobalt(II) fumarate","almarhoon, zainab m.",Chemistry Department,8,2018,0
1088,Healthcare Finance in the Kingdom of Saudi Arabia: A Qualitative Study of Householders' Attitudes,"almazrou, saja",Clinical Pharmacology Department,13,2018,0
1090,Comparison of peri-implant clinical and radiographic status around short (6 mm in length) dental implants placed in cigarette-smokers and never-smokers: Six-year follow-up results,"abduljabbar, tariq",Prosthetic Dental Science Department,5,2018,1
1091,"Clinical and radiographic peri-implant parameters and proinflammatory cytokine levels among cigarette smokers, smokeless tobacco users, and nontobacco users","vohra, fahim",Prosthetic Dental Science Department,33,2018,1
1093,Microwave-assisted synthesis and magneto-electrical properties of Mg-Zn ferrimagnetic oxide nanostructures,"ahmad, naushad",Chemistry Department,10,2018,0
1094,"Assessment of well performance criteria and aquifer characteristics using step-drawdown tests and hydrogeochemical data, west of Qena area, Egypt","abdalla, fathy",Science Research,4,2018,0
1096,"Characterization of Pepper leafroll chlorosis virus, a New Polerovirus Causing Yellowing Disease of Bell Pepper in Saudi Arabia","kamran, muhammad",Plant Protection Department,4,2018,0
1099,"Pendimethalin induces oxidative stress, DNA damage, and mitochondrial dysfunction to trigger apoptosis in human lymphocytes and rat bone-marrow cells","ansari, sabiha m.",Botany & Microbiology Department,7,2018,2
1101,Polymer matrix of fiber-reinforced composites: Changes in the semi-interpenetrating polymer network during the shelf life,"khan, aftab ahmed",Dental Biomaterials Research Chair,9,2018,1
1104,Differential expression and localization of human tissue inhibitors of metalloproteinases in proliferative diabetic retinopathy,"abu el-asrar, ahmed m.",Ophthalmology Department,9,2018,1
1105,Nutratherapeutics approach against cancer: tomato-mediated synthesised gold nanoparticles,"syed, asad",Botany & Microbiology Department,0,2018,0
1106,Removal of organic water pollutant using magnetite nanomaterials embedded with ionic copolymers of 2-acrylamido-2-methylpropane sodium sulfonate cryogels,"atta, ayman m.",Chemistry Department,8,2018,0
1107,"Silica-modified luminescent LaPO4:Eu@LaPO4@SiO2 core/shell nanorods: Synthesis, structural and luminescent properties","ansari, anees a.",King Abdullah Institute Nanotechnology,8,2018,0
1109,Metabolism-dependent cytotoxicity of citrinin and ochratoxin A alone and in combination as assessed adopting integrated discrete multiple organ co-culture (IdMOC),"akbarsha, mohammad a.",Food Science & Nutrition Department,9,2018,0
1110,Protective Effects of Fragaria ananassa Extract Against Cadmium Chloride-Induced Acute Renal Toxicity in Rats,"elkhadragy, manal f.",Zoology Department,11,2018,0
1112,Angiotensin converting enzyme-inhibitory activity and antimicrobial effect of fermented camel milk (Camelus dromedarius),"alhaj, omar a.",Food Science & Nutrition Department,8,2018,0
1113,"Elastic, Optoelectronic and Thermoelectric Properties of the Lead-Free Halide Semiconductors Cs2AgBiX6 (X = Cl, Br): Ab Initio Investigation","bin-omran, s.",Physics & Astronomy Department,17,2018,0
1114,Effects of Mn Ion Implantation on XPS Spectroscopy of GaN Thin Films,"khan, salah ud-din",Sustainable Energy Technololgy Center,5,2018,1
1115,Temperature Coefficients of Electrical Conductivity and Conduction Mechanisms in Butyl Rubber-Carbon Black Composites,"alzamil, m. a.",Physics & Astronomy Department,3,2018,1
1116,Clinical and radiographic periodontal parameters and release ofcollagen degradation biomarkers in naswar dippers,"abduljabbar, tariq",Prosthetic Dental Science Department,11,2018,1
1117,Resonances in Bianisotropic Layers,"razzaz, faroq",Electrical Engineering Department,1,2018,0
1118,Atrial Fibrillation in Patients Hospitalized With Heart Failure: Patient Characteristics and Outcomes From the HEARTS Registry,"ajlan, m.",Cardiac Science Department,2,2018,0
1119,"Medication adherence, depression and disease activity among patients with systemic lupus erythematosus","mayet, ahmed y.",Clinical Pharmacology Department,11,2018,2
1120,"Rietveld refinement, micro-structural, optical and thermal parameters of zirconium titanate composites","khan, m. a. majeed",King Abdullah Institute Nanotechnology,13,2018,0
1121,"Systematic study of the elastic, optoelectronic, and thermoelectric behavior of MRh2O4 (M = Zn, Cd) based on first principles calculations","asif, mohammad",Chemical Engineering Department,4,2018,1
1123,"Overexpression, purification and enzymatic characterization of a recombinant Arabian camel Camelus dromedarius glucose-6-phosphate dehydrogenase","ismaeil, mohammad",Biochemistry Department,1,2018,1
1124,Viability of and Escherichia coli O157:H7 and Listeria monocytogenes in a delicatessen appetizer (yogurt-based) salad as affected by citrus extract (Citrox (c)) and storage temperature,"yehia, hany mohamed",Food Science & Nutrition Department,11,2018,0
1125,Density solutions to a class of integro-differential equations,"jedidi, wissem",Statistics & Operations Research Department,3,2018,0
1126,"Preparation, characterization, nanostructures and bio functional analysis of sonicated protein co-precipitates from brewers' spent grain and soybean flour","almajwal, ali",Community Health Science Department,3,2018,0
1127,Controlling nanoparticle crystallinity and surface enrichment in polymer (P3HT)/Nanoparticle(PCBM) blend films with tunable soft confinement,"al-enizi, abdullah m.",Chemistry Department,1,2018,0
1128,Dynamical study of a chaotic predator-prey model with an omnivore,"al-khedhairi, a.",Statistics & Operations Research Department,9,2018,0
1129,UV photodetector based on energy bandgap shifted hexagonal boron nitride nanosheets for high-temperature environments,"aldalbahi, ali",Chemistry Department,4,2018,0
1130,"Inclusion of joint laxity, recurrent patellar dislocation, and short distal ulnae as a feature of Van Den Ende-Gupta syndrome: a case report","al-qattan, mohammad m.",Surgery Department,0,2018,0
1131,Influence of hydrostatic pressure on creeping discharge characteristics over solid/liquid insulating interfaces under AC and DC voltages,"khaled, usama",Electrical Engineering Department,1,2018,0
1132,Optimal enforcement of liveness to flexible manufacturing systems modeled with Petri nets via transition-based controllers,"al-ahmari, abdulrahman",Industrial Engineering Department,6,2018,0
1133,A three-dimensional graphene framework-enabled high-performance stretchable asymmetric supercapacitor,"sarfraz, mansoor",Sustainable Energy Technololgy Center,28,2018,1
1134,Iodine mediated oxidative cross-coupling of unprotected anilines and heteroarylation of benzothiazoles with 2-methylquinoline,"alarifi, abdullah",Chemistry Department,6,2018,0
1135,Restrained management of copper level enhances the antineoplastic activity of imatinib in vitro and in vivo,"hassan, iftekhar",Zoology Department,10,2018,3
1136,Acetylene black coated V2O5 nanocomposite with stable cyclability for lithium-ion batteries cathode,"mahmood, asif",Chemistry Engineering Department,6,2018,1
1137,Antioxidant activity of polyphenolic compounds isolated from ethyl-acetate fraction of Acacia hydaspica R. Parker,"razak, suhail",Community Health Science Department,9,2018,0
1138,Identification of novel genomic imbalances in Saudi patients with congenital heart disease,"salih, mustafa a.",Pediatric Department,2,2018,0
1139,Hydrogen Peroxide Assisted Selective Oxidation of 5-Hydroxymethylfurfural in Water under Mild Conditions,"bazziz, manar tareq saleh",Physics & Astronomy Department,33,2018,0
1140,Cardiovascular Outcomes and Safety of Empagliflozin in Patients With Type 2 Diabetes Mellitus and Peripheral Artery Disease: A Subanalysis of EMPA-REG OUTCOME,"al-omran, mohammed",Surgery Department,67,2018,0
1141,Bioactivity of essential oils extracted from Cupressus macrocarpa branchlets and Corymbia citriodora leaves grown in Egypt,"ali, hayssam mohamed",Botany & Microbiology Department,25,2018,0
1142,Green synthesis of silver nanoparticles using Laminaria japonica extract: Characterization and seedling growth assessment,"syed, asad",Botany & Microbiology Department,26,2018,0
1143,Photoremediation of toxic dye from aqueous environment using monometallic and bimetallic quantum dots based nanocomposites,"naushad, mu.",Chemistry Department,96,2018,0
1144,Synthesis of podophyllotoxin linked beta-carboline congeners as potential anticancer agents and DNA topoisomerase II inhibitors,"alarifi, abdullah",Chemistry Department,19,2018,0
1145,Hydration induced morphological change on proppant surfaces employing a calcium-silicate cement system,"almutairi, zeyad",Mechanical Engineering Department,1,2018,2
1146,"Rod-on-flake alpha-FeOOH/BiOI nanocomposite: Facile synthesis, characterization and enhanced photocatalytic performance","arunachalam, prabhakarn",Chemistry Department,28,2018,0
1147,A study on the effect of main process parameters of rotary ultrasonic machining for drilling BK7 glass,"anwar, saqib",Industrial Engineering Department,6,2018,1
1148,Ordered Mesoporous Tin Oxide Semiconductors with Large Pores and Crystallized Walls for High-Performance Gas Sensing,"alghamdi, abdulaziz",Chemistry Department,30,2018,0
1149,"A new lineage of braconid wasps in Burmese Cenomanian amber (Hymenoptera, Braconidae)","alqarni, abdulaziz s.",Plant Protection Department,3,2018,0
1150,Novel hierarchical composite adsorbent for selective lead(II) ions capturing from wastewater samples,"awual, md. rabiul",Mechanical Engineering Department,93,2018,0
1151,Nitrogen and carbon functionalized cobalt phosphide as efficient non-precious electrocatalysts for oxygen reduction reaction electrocatalysis in alkaline environment,"alothman, othman y.",Chemical Engineering Department,15,2018,1
1152,A comparison of two digestion methods for assessing heavy metals level in urban soils influenced by mining and industrial activities,"usman, adel r.",Soil Science Department,8,2018,0
1153,"Okra extract-assisted green synthesis of CoFe2O4 nanoparticles and their optical, magnetic, and antimicrobial properties","ramalingam, r. jothi",Chemistry Department,39,2018,0
1154,Highly efficient green mesostructured urea functionalized on SBA-15 catalysts for selective synthesis of benzlidenemalononitrile,"ramalingam, r. jothi",Chemistry Department,17,2018,0
1155,Spectrophotometric methods for the determination of urea in real samples using silver nanoparticles by standard addition and 2nd order derivative methods,"haider, sajjad",Chemical Engineering Department,18,2018,0
1156,Structures and data preserving homomorphic signatures,"khan, muhammad khurram",Excellence Information Assurance Coeia Center,3,2018,0
1158,Stereoselective synthesis of novel thioglycosyl heterocycles,"ghabbour, hazem a.",Pharmaceutical Chemistry Department,1,2018,1
1159,"New spiro-oxindole constructed with pyrrolidine/thioxothiazolidin-4-one derivatives: Regioselective synthesis, X-ray crystal structures, Hirshfeld surface analysis, DFT, docking and antimicrobial studies","barakat, assem",Chemistry Department,19,2018,1
1160,Stereoselective green synthesis and molecular structures of highly functionalized spirooxindole-pyrrolidine hybrids - A combined experimental and theoretical investigation,"kumar, raju suresh",Chemistry Department,7,2018,2
1161,Enhanced performance of PbO nanoparticles and PbO-CdO and PbO-ZnO nanocomposites for supercapacitor application,"alsalme, a.",Chemistry Department,13,2018,0
1162,Harmonic injection scheme for harmonic reduction of three-phase controlled converters,"eltamaly, ali m.",Sustainable Energy Technololgy Center,4,2018,0
1163,Protective role of selenium against chromium stress involving metabolites and essential elements in Brassica juncea L. seedlings,"alyemeni, mohammed nasser",Botany & Microbiology Department,16,2018,0
1164,Discussion of some inequalities via fractional integrals,"samet, bessem",Mathematics Department,2,2018,0
1166,Activation studies with amines and amino acids of the beta-carbonic anhydrase encodedby the Rv3273 gene from the pathogenic bacterium Mycobacterium tuberculosis,"osman, sameh m.",Chemistry Department,12,2018,0
1167,Length of Stay and Functional Outcomes Among Patients with Stroke Discharged from an Inpatient Rehabilitation Facility in Saudi Arabia,"bindawas, saad m.",Rehabilitation Science Department,3,2018,0
1168,Epitope Binning Assay Using an Electron Transfer-Modulated Aptamer Sensor,"aldalbahi, ali",Chemistry Department,9,2018,0
1170,Polythiophene/mesoporous SrTiO3 nanocomposites with enhanced photocatalytic activity under visible light,"el-toni, ahmed mohamed",King Abdullah Institute Nanotechnology,38,2018,0
1171,Managing excitons for high performance hybrid white organic light-emitting diodes by using a simple planar heterojunction interlayer,"ahamad, tansir",Chemistry Department,8,2018,0
1172,The furan microsolvation blind challenge for quantum chemical methods: First steps,"al-mogren, muneerah mogren",Chemistry Department,25,2018,0
1173,Development of self-repair nano-rod scaffold materials for implantation of osteosarcoma affected bone tissue,"alharbi, naiyf s.",Botany & Microbiology Department,7,2018,0
1174,Rotary ultrasonic drilling of Ti6Al4V: Effects of machining parameters and tool diameter,"anwar, saqib",Industrial Engineering Department,1,2018,1
1175,Electrical and thermal energy assessment of series connected N partially covered photovoltaic thermal (PVT)-compound parabolic concentrator (CPC) collector for different solar cell materials,"al-helal, i. m.",Agricultural Engineering Department,18,2018,0
1176,The DNA methyl-transferase protein DNMT1 enhances tumor-promoting properties of breast stromal fibroblasts,"al-kharashi, layla a.",Pharmacology & Toxicology Department,3,2018,0
1177,Optimizing the photochemical conversion of UV-vis light of silver-nanoparticles decorated TiO2 nanotubes based photoanodes,"alhazaa, abdulaziz n.",Physics & Astronomy Department,6,2018,0
1178,Periodically Arranged Arrays of Dendritic Pt Nanospheres Using Cage-Type Mesoporous Silica as a Hard Template,"alshehri, saad m.",Chemistry Department,4,2018,0
1179,UNIFORM REGULARITY FOR A MATHEMATICAL MODEL IN SUPERFLUIDITY,"samet, bessem",Mathematics Department,0,2018,0
1180,Mitigation of sodium chloride toxicity in Solanum lycopersicum L. by supplementation of jasmonic acid and nitric oxide,"ahmad, parvaiz",Botany & Microbiology Department,32,2018,0
1181,"Parental perceptions, attitudes and acceptance of childhood immunization in Saudi Arabia: A cross sectional study","alshammari, thamir m.",Medication Safety Research Chair,2,2018,0
1182,A Joint Filtering and Precoding Based Uplink MC-NOMA,"imran, muhammad",Computer Science Department,0,2018,0
1183,"A Systematic Review on Test Suite Reduction: Approaches, Experiment's Quality Evaluation, and Guidelines","abdul, wadood",Computer Engineering Department,5,2018,0
1186,Frequency Response Analysis of Medium Voltage Distribution Transformer,"alsuhaibani, saleh h.",Electrical Engineering Department,0,2018,0
1187,Online Partial Discharge Localization in Branched MV Joint,"bin mugrin, saad",Electrical Engineering Department,0,2018,0
1188,Printable Chipless RFID Tags for IoT Applications,"adbulkawi, wazie m.",Electrical Engineering Department,0,2018,0
1189,Motivating Factors and Potential Deterrents of Using Wikipedia in Teaching in Higher Education,"al-ghamdi, sharefah",Computer Science Department,0,2018,0
1190,Using GIS for Measuring Mobile Tower Radiation on Human,"al-sahly, abdullah",Information Systems Department,0,2018,1
1192,"Feature Extraction of EEG based Motor Imagery Using CSP based on Logarithmic Band Power, Entropy and Energy","aljalal, majid",Electrical Engineering Department,1,2018,0
1195,Deleted Data Attribution in Cloud Computing Platforms,"alsadhan, afnan f.",Information Systems Department,0,2018,0
1196,On the PAPR Reduction: A Novel Filtering Based Hadamard Transform Precoded Uplink MC-NOMA Scheme for 5G Cellular Networks,"imran, muhammad",Computer Science Department,1,2018,0
1197,Learning Robust Deep Features for Efficient Classification of UAV Imagery,"bashmal, laila",Computer Engineering Department,0,2018,0
1198,Kernel Methods and the Maximum Mean Discrepancy for Seizure Detection,"alshebeili, saleh a.",Electrical Engineering Department,0,2018,0
1199,Classification of Live Scanned Fingerprints using Dense SIFT based Ridge Orientation Features,"saeed, fahman",Computer Science Department,0,2018,0
1200,Morphology and ultrastructure of the venom gland in the ant Brachyponera sennaarensis,"al-khalifa, mohammed",Zoology Department,0,2018,0
1201,"Additions to the ant fauna (Hymenoptera: Formicidae) of Oman: an updated list, new records and a description of two new species","sharaf, mostafa r.",Plant Protection Department,3,2018,0
1202,Blind FLM Web-Based Tools for Keystroke-Level Predictive Assessment of Visually Impaired Smartphone Interaction,"al-megren, shiroq",Information Technololgy Department,0,2018,0
1203,Accuracy/Cost trade-off in localization problem for wireless sensor networks,"belghith, abdelfettah",Computer Science Department,0,2018,0
1204,Data Reduction Using Change Coding for Remote Applications of wireless Visual Sensor Networks,"aurangzeb, khursheed",Computer Engineering Department,1,2018,0
1205,TOPOLOGY OPTIMIZATION OF METALLIC LOCKING COMPRESSION PLATES PRODUCED USING ELECTRON BEAM MELTING,"al-tamimi, abdulsalam abdulaziz",Industrial Engineering Department,0,2018,0
1206,"Morphology of Three Aloricate Choreotrich ciliates, Including Description of a New Species Parastrombidinopsis costalis sp. n. (Ciliophora, Choreotrichia), and phylogeny of the genus Parastrombidinopsis","al-rasheid, khated a. s.",Zoology Department,3,2018,0
1207,"Prevalence of Multidrug Resistance and Extended-Spectrum beta-Lactamase Carriage of Clinical Uropathogenic Escherichia coli Isolates in Riyadh, Saudi Arabia","alqasim, abdulaziz",Clinical Lab Science Department,16,2018,0
1208,Blockchain Use Cases in Digital Sectors: A Review of the Literature,"al-megren, shiroq",Information Technololgy Department,5,2018,1
1209,On-Sun Experiments on a Particle Heating Receiver with Red Sand as the Working Medium,"al-ansary, hany",Mechanical Engineering Department,3,2018,1
1210,Preliminary Tests of an Integrated Gas Turbine-Solar Particle Heating and Energy Storage System,"el-leathy, abdelrahman",Mechanical Engineering Department,4,2018,1
1211,Toxicity Determinants of CNT-PEG/DOX Complex using Carbon Nanotubes Synthesis from Fermented Tapioca,"alrokayan, salman h.",Biochemistry Department,0,2018,0
1212,A Low Power Programmable Gain Integrated Front-End for Electromyogram Signal Sensing,"abbas, mohamed",Electrical Engineering Department,1,2018,0
1213,"Biofabrication of Zinc Oxide Nanoparticle from Ochradenus baccatus Leaves: Broad-Spectrum Antibiofilm Activity, Protein Binding Studies, and In Vivo Toxicity and Stress Studies","al-shabib, nasser a.",Food Science & Nutrition Department,15,2018,5
1215,Semantic Graph Based Automatic Summarization of Multiple Related Work Sections of Scientific Articles,"altmami, nouf ibrahim",Computer Science Department,1,2018,0
1217,Efficient Computation of Sequence Mappability,"alzamel, mai",Computer Science Department,2,2018,0
1219,Proposed Game for Promoting Physical Activities among People with Low Back Pain using Virtual Reality,"alazba, amal",Information Technololgy Department,0,2018,1
